Date,Apple,Amazon,DBS
10/1/2018,56.814999,100.218002,25.969999
10/2/2018,57.32,98.565498,25.629999
10/3/2018,58.017502,97.638,25.950001
10/4/2018,56.997501,95.471001,25.76
10/5/2018,56.072498,94.482498,25.77
10/8/2018,55.942501,93.221001,25.469999
10/9/2018,56.717499,93.515999,25.26
10/10/2018,54.09,87.762497,24.950001
10/11/2018,53.612499,85.968002,24.309999
10/12/2018,55.5275,89.430496,24.42
10/15/2018,54.34,88.047501,24.48
10/16/2018,55.537498,90.998001,24.24
10/17/2018,55.297501,91.586502,24.49
10/18/2018,54.005001,88.536003,24.35
10/19/2018,54.827499,88.2015,24.26
10/22/2018,55.162498,89.464996,24.35
10/23/2018,55.682499,88.434998,23.969999
10/24/2018,53.772499,83.209999,24.1
10/25/2018,54.950001,89.108498,23.709999
10/26/2018,54.075001,82.140503,23.1
10/29/2018,53.060001,76.944,23.030001
10/30/2018,53.325001,76.521004,22.799999
10/31/2018,54.715,79.900497,23.459999
11/1/2018,55.555,83.276497,23.950001
11/2/2018,51.869999,83.276497,24.66
11/5/2018,50.397499,81.389999,24
11/6/2018,50.942501,82.140503,23.77
11/7/2018,52.487499,87.774498,23.99
11/8/2018,52.122501,87.745499,23.74
11/9/2018,51.1175,85.621498,23.52
11/12/2018,48.5425,81.842499,23.32
11/13/2018,48.057499,81.558502,23.200001
11/14/2018,46.700001,79.9505,23.15
11/15/2018,47.852501,80.972,23.32
11/16/2018,48.3825,79.670502,23.200001
11/19/2018,46.465,75.614502,22.9
11/20/2018,44.244999,74.773003,23
11/21/2018,44.195,75.836502,23
11/23/2018,43.072498,75.102997,23.08
11/26/2018,43.654999,79.066498,23.59
11/27/2018,43.560001,79.070999,23.700001
11/28/2018,45.235001,83.887497,23.870001
11/29/2018,44.887501,83.678497,24.18
11/30/2018,44.645,84.508499,24.379999
12/3/2018,46.205002,88.617996,25.110001
12/4/2018,44.172501,83.419998,24.959999
12/6/2018,43.68,84.959503,24.65
12/7/2018,42.122501,81.456497,24.139999
12/10/2018,42.400002,82.051498,24.16
12/11/2018,42.157501,82.162003,23.799999
